book_name,book_id,chapter_name,section_name,exercise,exercise_summary,page_number
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 1 Probability,General,Exercise 1. Analysis of a Retail Website's Visits,"An online store recorded a total of 50,000 visits to its website in January. During the same period, 1,200 of these visits resulted in purchases. Based on these historical data, what is the estimated probability that a visitor randomly chosen from this store's website in the future completes a purchase? Provide your answer in percentage.",8
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 1 Probability,General,Exercise 2. Fault Analysis in a Production Line,"An electronics component factory recorded a total of 240 working days over the last 12 months. During this period, there were 36 days in which at least one failure was found in the production process. Based on this historical data, what is the probability that on a randomly chosen working day in the coming months, at least one failure will be recorded in the production line? Present your answer as a simple fraction.",9
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 1 Probability,General,Exercise 3. Analysis of a Production Process,"In a manufacturing company that produces electronic gadgets, it has been observed that out of 10,000 units produced in a month, 300 units are defective. The company decides to improve its production processes to reduce the number of defects and wants to evaluate the probability of achieving better results in the coming month. Assuming the defect rate remains unchanged, what is the probability that at least one gadget chosen at random from a batch of 500 units is defective?",10
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 1 Probability,General,Exercise 4. Customer Preference Analysis in a Clothing Store,"A clothing company wants to analyze the behavior of its customers. In the past six months, they noticed that 600 customers purchased a product immediately after trying on a specific item in the fitting room, while 1800 customers tried it on but did not purchase it. Based on these data, the company wants to know the probability that a customer, after trying on an item in the fitting room, decides to purchase it. Present your answer as a decimal value rounded to two decimal places.",11
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 1 Probability,General,Exercise 5. Analysis of Conversions in an Ecommerce,"In an online store, a company's analyst is monitoring user behavior on the platform. The conversion rate of a user visiting the site and completing a purchase is 10%. Additionally, among those who convert, 30% of these users purchase at least 2 products in the same order. If a user visits the site, what is the probability that they convert and also buy at least 2 products?",12
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 1 Probability,General,Exercise 6. Evaluation of the Probability of Participation in Company Events,"A company is analyzing employee behavior concerning participation in internal training events. 25% of employees voluntarily attend technical workshops, and 15% attend personal development courses offered by the company. It has been observed that 5% of employees participate in both types of events. What is the probability that a randomly chosen employee participates in at least one of these events?",13
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 1 Probability,General,Exercise 7. Analysis of Customer Satisfaction in a Service Company,"A service company is analyzing the satisfaction of its customers through an annual survey. The data collected shows that 40% of the customers surveyed are satisfied with the service received, while 25% are satisfied with the after-sales support. Furthermore, it was noted that 10% of the customers are satisfied with both the service and the after-sales support. Calculate the probability that a random customer is satisfied with at least one of the two aspects (service or after-sales support).",14
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 1 Probability,General,Exercise 8. Analysis of Marketing Campaigns,"A company is analyzing the effectiveness of two different advertising campaigns. The first campaign, conducted on social media, reaches 20% of potential customers, while the second campaign, on a television platform, covers 35% of the target. Market analysis shows that 10% of potential customers are reached by both campaigns. What is the probability that a potential customer is reached by at least one of the two advertising campaigns?",15
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 1 Probability,General,Exercise 9. Customer Preferences Analysis of a Company,"An e-commerce company wants to analyze the purchasing preferences of its customers for two product categories: electronics and clothing. From the database, it is observed that 45% of customers have made at least one purchase in the electronics category, while 55% of customers have bought at least one product in the clothing category. Furthermore, 20% of customers have purchased at least one product in both categories. Calculate the probability that a randomly selected customer has made purchases in at least one of the two categories.",16
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 1 Probability,General,Exercise 10. Sales Performance Analysis in a Company Commission,"A company relies on a team of salespeople to launch a new product on the market. Each salesperson has a distinctive approach to closing sales. The probability that salesperson A concludes a sale in a call is 0.35, while for salesperson B it is 0.5. Since both are working on separate calls, calculate the probability that at least one sale is concluded, if each makes one call. Consider the strategies of the salespeople to be distinct and independent.",17
